Error: /Users/dagnikos/Projects/AutoCode/tempcode/ProjectName/Implementations/ArticleService.cs(102,17): error CS0117: 'Article' does not contain a definition for 'ImageId'
Error: /Users/dagnikos/Projects/AutoCode/tempcode/ProjectName/Implementations/ArticleService.cs(103,17): error CS0117: 'Article' does not contain a definition for 'PdfId'
Error: /Users/dagnikos/Projects/AutoCode/tempcode/ProjectName/Implementations/ArticleService.cs(200,76): error CS1061: 'ArticleDto' does not contain a definition for 'AuthorId' and no accessible extension method 'AuthorId' accepting a first argument of type 'ArticleDto' could be found (are you missing a using directive or an assembly reference?)
Error: /Users/dagnikos/Projects/AutoCode/tempcode/ProjectName/Implementations/ArticleService.cs(209,32): error CS1061: 'ArticleDto' does not contain a definition for 'PdfId' and no accessible extension method 'PdfId' accepting a first argument of type 'ArticleDto' could be found (are you missing a using directive or an assembly reference?)
Error: /Users/dagnikos/Projects/AutoCode/tempcode/ProjectName/Implementations/ArticleService.cs(211,88): error CS1061: 'ArticleDto' does not contain a definition for 'PdfId' and no accessible extension method 'PdfId' accepting a first argument of type 'ArticleDto' could be found (are you missing a using directive or an assembly reference?)
Error: /Users/dagnikos/Projects/AutoCode/tempcode/ProjectName/Implementations/ArticleService.cs(221,32): error CS1061: 'ArticleDto' does not contain a definition for 'ImageId' and no accessible extension method 'ImageId' accepting a first argument of type 'ArticleDto' could be found (are you missing a using directive or an assembly reference?)
Error: /Users/dagnikos/Projects/AutoCode/tempcode/ProjectName/Implementations/ArticleService.cs(223,78): error CS1061: 'ArticleDto' does not contain a definition for 'ImageId' and no accessible extension method 'ImageId' accepting a first argument of type 'ArticleDto' could be found (are you missing a using directive or an assembly reference?)
Error: /Users/dagnikos/Projects/AutoCode/tempcode/ProjectName/Implementations/ArticleService.cs(264,30): error CS0029: Cannot implicitly convert type 'ProjectName.Types.Author' to 'System.Guid'
Error: /Users/dagnikos/Projects/AutoCode/tempcode/ProjectName/Implementations/ArticleService.cs(269,29): error CS0029: Cannot implicitly convert type 'ProjectName.Types.Image' to 'System.Guid?'
Error: /Users/dagnikos/Projects/AutoCode/tempcode/ProjectName/Implementations/ArticleService.cs(270,27): error CS0029: Cannot implicitly convert type 'ProjectName.Types.Attachment' to 'System.Guid?'
Error: /Users/dagnikos/Projects/AutoCode/tempcode/ProjectName/Implementations/ArticleService.cs(280,21): error CS0117: 'Article' does not contain a definition for 'BlogCategories'
Error: /Users/dagnikos/Projects/AutoCode/tempcode/ProjectName/Implementations/ArticleService.cs(281,21): error CS0117: 'Article' does not contain a definition for 'BlogTags'
Error: /Users/dagnikos/Projects/AutoCode/tempcode/ProjectName/Implementations/ArticleService.cs(35,64): error CS1061: 'CreateArticleDto' does not contain a definition for 'AuthorId' and no accessible extension method 'AuthorId' accepting a first argument of type 'CreateArticleDto' could be found (are you missing a using directive or an assembly reference?)
Error: /Users/dagnikos/Projects/AutoCode/tempcode/ProjectName/Implementations/ArticleService.cs(41,69): error CS1061: 'CreateArticleDto' does not contain a definition for 'AuthorId' and no accessible extension method 'AuthorId' accepting a first argument of type 'CreateArticleDto' could be found (are you missing a using directive or an assembly reference?)
Error: /Users/dagnikos/Projects/AutoCode/tempcode/ProjectName/Implementations/ArticleService.cs(72,93): error CS0029: Cannot implicitly convert type 'string' to 'System.Guid?'
Error: /Users/dagnikos/Projects/AutoCode/tempcode/ProjectName/Implementations/ArticleService.cs(97,17): error CS0117: 'Article' does not contain a definition for 'AuthorId'
Error: /Users/dagnikos/Projects/AutoCode/tempcode/ProjectName/Implementations/ArticleService.cs(97,36): error CS1061: 'CreateArticleDto' does not contain a definition for 'AuthorId' and no accessible extension method 'AuthorId' accepting a first argument of type 'CreateArticleDto' could be found (are you missing a using directive or an assembly reference?)
Error: 17 Error(s)
